,year-month,snow mass,5 year moving average,,March,March-year-month,,,,,,,
0,1979-1,2442.202696,,,3364.771126,1979-3,,,,,,,
1,1979-2,3239.383928,,,3233.054632,1980-3,,1979,14573.62087,14573.62087,0,-1644.607661,-2104.109247
2,1979-3,3364.771126,,,2927.085249,1981-3,,1980,13703.27171,13703.27171,-870.3491534,,
3,1979-4,2713.749434,,,3252.852916,1982-3,,1981,11593.32752,11593.32752,-2980.293344,,
4,1979-5,796.9623694,2511.413911,,3102.798663,1983-3,,1982,14529.65058,14529.65058,-43.9702863,,
5,1979-6,0,2022.973372,,3100.224593,1984-3,,1983,13526.2312,13526.2312,-1047.389664,,
6,1979-7,0,1375.096586,,3333.04277,1985-3,,1984,13510.52842,13510.52842,-1063.092443,,
7,1979-8,0,702.1423607,,3127.385569,1986-3,,1985,14127.13751,14127.13751,-446.4833534,,
8,1979-9,0,159.3924739,,3178.171596,1987-3,,1986,13157.11169,13157.11169,-1416.509173,,
9,1979-10,34.28428152,6.856856304,,3357.568462,1988-3,,1987,12958.72287,12958.72287,-1614.897992,,
10,1979-11,549.0748367,116.6718236,,3440.880821,1989-3,,1988,12051.21275,12051.21275,-2522.408112,,
11,1979-12,1433.192194,403.3102625,,3205.899607,1990-3,,1989,15587.31724,15587.31724,1013.696374,,
12,1980-1,2258.532302,855.0167229,,3327.446729,1991-3,,1990,14284.27264,14284.27264,-289.3482251,,
13,1980-2,3015.38582,1458.093887,,3260.510217,1992-3,,1991,14695.25026,14695.25026,121.6293973,,
14,1980-3,3233.054632,2097.847957,,3353.915974,1993-3,,1992,14815.59766,14815.59766,241.9767949,,
15,1980-4,2543.661673,2496.765324,,3408.569843,1994-3,,1993,14664.4107,14664.4107,90.78983895,,
16,1980-5,797.0892396,2369.544733,,3296.218455,1995-3,,1994,14769.14803,14769.14803,195.5271638,,
17,1980-6,0,1917.838273,,3341.320206,1996-3,,1995,13940.63602,13940.63602,-632.9848478,,
18,1980-7,0,1314.761109,,3513.366997,1997-3,,1996,14894.59123,14894.59123,320.9703601,,
19,1980-8,0,668.1501826,,3016.192735,1998-3,,1997,14744.2485,14744.2485,170.6276391,,
20,1980-9,0,159.4178479,,3430.636714,1999-3,,1998,14022.16723,14022.16723,-551.4536354,,
21,1980-10,27.61137347,5.522274695,,3037.539492,2000-3,,1999,14902.84482,14902.84482,329.2239535,,
22,1980-11,401.8709061,85.89645592,,3399.791117,2001-3,,2000,13895.08153,13895.08153,-678.5393338,,
23,1980-12,1426.065766,371.1096092,,3043.837262,2002-3,,2001,14455.85911,14455.85911,-117.7617587,,
24,1981-1,2364.010714,843.911752,,3287.651189,2003-3,,2002,14320.41733,14320.41733,-253.2035322,,
25,1981-2,2863.239565,1416.559665,,3223.284437,2004-3,,2003,13605.73207,13605.73207,-967.888799,,
26,1981-3,2927.085249,1996.45444,,3159.347715,2005-3,,2004,14637.7799,14637.7799,64.15903819,,
27,1981-4,2074.660775,2331.012414,,3213.701209,2006-3,,2005,13662.40494,13662.40494,-911.2159207,,
28,1981-5,817.4371887,2209.286698,,3280.945965,2007-3,,2006,13725.87753,13725.87753,-847.7433375,,
29,1981-6,148.9884312,1766.282242,,3118.9063,2008-3,,2007,13344.29626,13344.29626,-1229.324605,,
30,1981-7,0,1193.634329,,3212.555286,2009-3,,2008,12516.54788,12516.54788,-2057.072981,,
31,1981-8,0,608.2172789,,2882.987318,2010-3,,2009,13009.1709,13009.1709,-1564.449962,,
32,1981-9,0,193.285124,,3269.998309,2011-3,,2010,11748.68869,11748.68869,-2824.93218,,
33,1981-10,0,29.79768625,,2873.687676,2012-3,,2011,12929.42535,12929.42535,-1644.195518,,
34,1981-11,397.9055992,79.58111984,,3131.881218,2013-3,,2012,11821.31628,11821.31628,-2752.30459,,
35,1981-12,0,79.58111984,,3050.217784,2014-3,,2013,13204.86542,13204.86542,-1368.755441,,
36,1982-1,2480.95145,575.7714098,,3060.603384,2015-3,,2014,-13016.14783,-13016.14783,-27589.7687,,
37,1982-2,3116.724032,1199.116216,,2918.065904,2016-3,,2015,13054.45631,13054.45631,-1519.164552,,
38,1982-3,3252.852916,1849.686799,,3033.013933,2017-3,,2016,12041.45215,12041.45215,-2532.168714,,
39,1982-4,2579.363665,2285.978413,,3171.108312,2018-3,,2017,13037.41919,13037.41919,-1536.201674,,
40,1982-5,870.4121349,2460.06084,,,,,2018,11759.19337,11759.19337,-2814.427498,,
41,1982-6,102.5147774,1984.373505,,,,,,,,,,
42,1982-7,0,1361.028699,,,,,,,,,,
43,1982-8,0,710.4581154,,,,,,,,,,
44,1982-9,0,194.5853825,,,,,,,,,,
45,1982-10,41.27803842,28.75856316,,,,,,,,,,
46,1982-11,647.1633606,137.6882798,,,,,,,,,,
47,1982-12,1438.390205,425.3663207,,,,,,,,,,
48,1983-1,2254.903148,876.3469504,,,,,,,,,,
49,1983-2,2949.477405,1466.242431,,,,,,,,,,
50,1983-3,3102.798663,2078.546556,,,,,,,,,,
51,1983-4,2399.838241,2429.081532,,,,,,,,,,
52,1983-5,1052.608403,2351.925172,,,,,,,,,,
53,1983-6,0,1900.944542,,,,,,,,,,
54,1983-7,0,1311.049061,,,,,,,,,,
55,1983-8,0,690.4893288,,,,,,,,,,
56,1983-9,0,210.5216806,,,,,,,,,,
57,1983-10,21.08753194,4.217506387,,,,,,,,,,
58,1983-11,426.605976,89.5387016,,,,,,,,,,
59,1983-12,1318.911834,353.3210683,,,,,,,,,,
60,1984-1,2413.239582,835.9689846,,,,,,,,,,
61,1984-2,3016.650217,1439.299028,,,,,,,,,,
62,1984-3,3100.224593,2055.12644,,,,,,,,,,
63,1984-4,2328.666922,2435.538629,,,,,,,,,,
64,1984-5,651.0889798,2301.974059,,,,,,,,,,
65,1984-6,0,1819.326142,,,,,,,,,,
66,1984-7,0,1215.996099,,,,,,,,,,
67,1984-8,0,595.9511803,,,,,,,,,,
68,1984-9,0,130.217796,,,,,,,,,,
69,1984-10,59.18720822,11.83744164,,,,,,,,,,
70,1984-11,538.8833066,119.614103,,,,,,,,,,
71,1984-12,1402.587614,400.1316258,,,,,,,,,,
72,1985-1,2234.039093,846.9394444,,,,,,,,,,
73,1985-2,3032.774562,1453.494357,,,,,,,,,,
74,1985-3,3333.04277,2108.265469,,,,,,,,,,
75,1985-4,2494.838602,2499.456528,,,,,,,,,,
76,1985-5,974.3048767,2413.799981,,,,,,,,,,
77,1985-6,68.63263599,1980.718689,,,,,,,,,,
78,1985-7,0,1374.163777,,,,,,,,,,
79,1985-8,0,707.555223,,,,,,,,,,
80,1985-9,0,208.5875025,,,,,,,,,,
81,1985-10,0,13.7265272,,,,,,,,,,
82,1985-11,477.1607455,95.43214909,,,,,,,,,,
83,1985-12,1512.344227,397.9009945,,,,,,,,,,
84,1986-1,2453.510642,888.603123,,,,,,,,,,
85,1986-2,3025.780156,1493.759154,,,,,,,,,,
86,1986-3,3127.385569,2119.236268,,,,,,,,,,
87,1986-4,2036.081726,2431.020464,,,,,,,,,,
88,1986-5,839.2034375,2296.392306,,,,,,,,,,
89,1986-6,0,1805.690178,,,,,,,,,,
90,1986-7,0,1200.534146,,,,,,,,,,
91,1986-8,0,575.0570327,,,,,,,,,,
92,1986-9,0,167.8406875,,,,,,,,,,
93,1986-10,35.67719881,7.135439762,,,,,,,,,,
94,1986-11,417.4871536,90.63287049,,,,,,,,,,
95,1986-12,1221.98581,335.0300325,,,,,,,,,,
96,1987-1,2028.232684,740.6765693,,,,,,,,,,
97,1987-2,2852.703563,1311.217282,,,,,,,,,,
98,1987-3,3178.171596,1939.716161,,,,,,,,,,
99,1987-4,2146.754779,2285.569686,,,,,,,,,,
100,1987-5,736.735034,2188.519531,,,,,,,,,,
101,1987-6,0,1782.872994,,,,,,,,,,
102,1987-7,0,1212.332282,,,,,,,,,,
103,1987-8,0,576.6979627,,,,,,,,,,
104,1987-9,0,147.3470068,,,,,,,,,,
105,1987-10,0,0,,,,,,,,,,
106,1987-11,640.4233842,128.0846768,,,,,,,,,,
107,1987-12,1375.701833,403.2250434,,,,,,,,,,
108,1988-1,0,403.2250434,,,,,,,,,,
109,1988-2,3116.148766,1026.454797,,,,,,,,,,
110,1988-3,3357.568462,1697.968489,,,,,,,,,,
111,1988-4,2304.829458,2030.849704,,,,,,,,,,
112,1988-5,850.124116,1925.734161,,,,,,,,,,
113,1988-6,0,1925.734161,,,,,,,,,,
114,1988-7,0,1302.504407,,,,,,,,,,
115,1988-8,0,630.9907148,,,,,,,,,,
116,1988-9,0,170.0248232,,,,,,,,,,
117,1988-10,44.59993563,8.919987126,,,,,,,,,,
118,1988-11,614.6155304,131.8430932,,,,,,,,,,
119,1988-12,1763.326486,484.5083904,,,,,,,,,,
120,1989-1,2717.281324,1027.964655,,,,,,,,,,
121,1989-2,3246.983344,1677.361324,,,,,,,,,,
122,1989-3,3440.880821,2356.617501,,,,,,,,,,
123,1989-4,2478.049573,2729.30431,,,,,,,,,,
124,1989-5,1034.99606,2583.638224,,,,,,,,,,
125,1989-6,0,2040.18196,,,,,,,,,,
126,1989-7,0,1390.785291,,,,,,,,,,
127,1989-8,0,702.6091267,,,,,,,,,,
128,1989-9,0,206.9992121,,,,,,,,,,
129,1989-10,73.50010003,14.70002001,,,,,,,,,,
130,1989-11,756.3452653,165.9690731,,,,,,,,,,
131,1989-12,1839.280752,533.8252235,,,,,,,,,,
132,1990-1,2612.0278,1056.230783,,,,,,,,,,
133,1990-2,3168.749,1689.980583,,,,,,,,,,
134,1990-3,3205.899607,2316.460485,,,,,,,,,,
135,1990-4,2177.20699,2600.63283,,,,,,,,,,
136,1990-5,711.2154091,2375.019761,,,,,,,,,,
137,1990-6,0,1852.614201,,,,,,,,,,
138,1990-7,0,1218.864401,,,,,,,,,,
139,1990-8,0,577.6844799,,,,,,,,,,
140,1990-9,0,142.2430818,,,,,,,,,,
141,1990-10,51.69423978,10.33884796,,,,,,,,,,
142,1990-11,610.7880956,132.4964671,,,,,,,,,,
143,1990-12,1746.691499,481.8347669,,,,,,,,,,
144,1991-1,2703.302293,1022.495225,,,,,,,,,,
145,1991-2,3117.02459,1645.900144,,,,,,,,,,
146,1991-3,3327.446729,2301.050641,,,,,,,,,,
147,1991-4,2382.639176,2655.420858,,,,,,,,,,
148,1991-5,807.7096853,2467.624495,,,,,,,,,,
149,1991-6,0,1926.964036,,,,,,,,,,
150,1991-7,0,1303.559118,,,,,,,,,,
151,1991-8,0,638.0697722,,,,,,,,,,
152,1991-9,0,161.5419371,,,,,,,,,,
153,1991-10,0,0,,,,,,,,,,
154,1991-11,674.4382666,134.8876533,,,,,,,,,,
155,1991-12,1682.689523,471.425558,,,,,,,,,,
156,1992-1,2358.931578,943.2118735,,,,,,,,,,
157,1992-2,3068.304318,1556.872737,,,,,,,,,,
158,1992-3,3260.510217,2208.974781,,,,,,,,,,
159,1992-4,2544.249609,2582.937049,,,,,,,,,,
160,1992-5,1007.243521,2447.847849,,,,,,,,,,
161,1992-6,0,1976.061533,,,,,,,,,,
162,1992-7,0,1362.400669,,,,,,,,,,
163,1992-8,0,710.2986259,,,,,,,,,,
164,1992-9,0,201.4487042,,,,,,,,,,
165,1992-10,82.20138461,16.44027692,,,,,,,,,,
166,1992-11,786.3884789,173.7179727,,,,,,,,,,
167,1992-12,1707.768554,515.2716835,,,,,,,,,,
168,1993-1,2653.154751,1045.902634,,,,,,,,,,
169,1993-2,3185.349472,1682.972528,,,,,,,,,,
170,1993-3,3353.915974,2337.315446,,,,,,,,,,
171,1993-4,2255.236335,2631.085017,,,,,,,,,,
172,1993-5,815.3255882,2452.596424,,,,,,,,,,
173,1993-6,0,1921.965474,,,,,,,,,,
174,1993-7,0,1284.895579,,,,,,,,,,
175,1993-8,0,614.1123847,,,,,,,,,,
176,1993-9,0,163.0651176,,,,,,,,,,
177,1993-10,52.71654657,10.54330931,,,,,,,,,,
178,1993-11,677.1730178,145.9779129,,,,,,,,,,
179,1993-12,1671.53902,480.2857169,,,,,,,,,,
180,1994-1,2677.413019,1015.768321,,,,,,,,,,
181,1994-2,3328.238646,1681.41605,,,,,,,,,,
182,1994-3,3408.569843,2352.586709,,,,,,,,,,
183,1994-4,2400.857433,2697.323592,,,,,,,,,,
184,1994-5,718.2896834,2506.673725,,,,,,,,,,
185,1994-6,0,1971.191121,,,,,,,,,,
186,1994-7,0,1305.543392,,,,,,,,,,
187,1994-8,0,623.8294233,,,,,,,,,,
188,1994-9,0,143.6579367,,,,,,,,,,
189,1994-10,18.84938804,3.769877608,,,,,,,,,,
190,1994-11,549.918092,113.753496,,,,,,,,,,
191,1994-12,1667.011925,447.155881,,,,,,,,,,
192,1995-1,2426.144341,932.3847492,,,,,,,,,,
193,1995-2,3044.737393,1541.332228,,,,,,,,,,
194,1995-3,3296.218455,2196.806041,,,,,,,,,,
195,1995-4,2174.638267,2521.750076,,,,,,,,,,
196,1995-5,745.5584646,2337.459384,,,,,,,,,,
197,1995-6,0,1852.230516,,,,,,,,,,
198,1995-7,0,1243.283037,,,,,,,,,,
199,1995-8,0,584.0393463,,,,,,,,,,
200,1995-9,0,149.1116929,,,,,,,,,,
201,1995-10,66.63110421,13.32622084,,,,,,,,,,
202,1995-11,573.42756,128.0117328,,,,,,,,,,
203,1995-12,1613.280433,450.6678194,,,,,,,,,,
204,1996-1,2577.656473,966.199114,,,,,,,,,,
205,1996-2,3116.572717,1589.513657,,,,,,,,,,
206,1996-3,3341.320206,2244.451478,,,,,,,,,,
207,1996-4,2606.909964,2651.147959,,,,,,,,,,
208,1996-5,977.7895301,2524.049778,,,,,,,,,,
209,1996-6,0,2008.518483,,,,,,,,,,
210,1996-7,0,1385.20394,,,,,,,,,,
211,1996-8,0,716.9398988,,,,,,,,,,
212,1996-9,0,195.557906,,,,,,,,,,
213,1996-10,0,0,,,,,,,,,,
214,1996-11,628.4635586,125.6927117,,,,,,,,,,
